,0
"('N', 'C', 1)",0.32616393344130573
"('S', 'H', 1)",0.1802212345456196
"('C', 'S', 1.5)",0.18126469521347133
"('O', 'C', 1.5)",0.10684469953059308
"('C', 'O', 2)",0.22650026095583403
"('C', 'O', 1)",0.1919565683002852
"('C', 'C', 1)",0.3084051612245628
"('C', 'C', 1.5)",0.29477890186439065
"('C', 'H', 1)",0.31955237503850253
C,0.32078718953815144
H,0.32576500508929157
O,0.2571902189100183
amines,0.2794419284330151
ether,0.18822786451274473
aldehyde,0.226500260955834
sulfide,0.10391346358662158
aromatic,0.2865032098873896
cycle,0.3093648430726016
weight,0.24128395232682465
logP,0.18797791529590402
SAS,0.26299786239858514
